PUBMEDID,FIRST AUTHOR,CATEGORY,COUNTRY OF ORIGIN,COUNTRY OF RECRUITMENT
30647433,Legge SE,Sub-Saharan African,NR,U.K.
30642363,Hoffman J,Hispanic or Latin American,NR,U.S.
30642363,Hoffman J,Hispanic or Latin American,NR,"Mexico, U.S., Colombia"
30642363,Hoffman J,East Asian,NR,China
30642363,Hoffman J,European,NR,NR
30610202,Ruderfer DM,European,NR,NR
30582445,Mola-Caminal M,European,NR,"U.S., Australia, Belgium, Sweden, U.K., Spain"
30598549,Morris JA,European,NR,U.K.
30598549,Morris JA,European,NR,U.K.
30598549,Morris JA,European,NR,NR
30563984,Hawi Z,European,NR,"Australia, Republic of Ireland, U.K."
30552067,Shrine N,European,NR,U.K.
30531941,Doherty A,European,NR,NR
30531941,Doherty A,European,NR,NR
30531941,Doherty A,European,NR,NR
30531941,Doherty A,European,NR,NR
30531825,Morgan MD,European,NR,U.K.
30531825,Morgan MD,European,NR,U.K.
30535121,Gao XR,European,NR,U.K.
30498034,Terao C,East Asian,NR,Japan
30423114,Laufer VA,African American or Afro-Caribbean,NR,U.S.
30423114,Laufer VA,East Asian,NR,NR
30395268,Khanshour AM,European,NR,U.S.
30374069,Styrkarsdottir U,European,NR,"Iceland, U.K."
30374069,Styrkarsdottir U,European,NR,"U.K., Iceland"
30367059,Teumer A,European,NR,NR
30367059,Teumer A,European,NR,"U.S., Australia, Germany, Netherlands, Republic of Ireland, U.K., Italy"
30367059,Teumer A,European,NR,"U.S., Australia, Germany, Netherlands, Republic of Ireland, U.K., Italy"
30367059,Teumer A,European,NR,NR
30367059,Teumer A,European,NR,NR
30361487,Yan Q,European,NR,U.S.
30348214,Zhang Q,NR,NR,U.K.
30343302,Kim SH,East Asian,NR,Democratic People's Republic of Korea
30336701,Sanchez-Roige S,European,NR,U.K.
30326835,Li Z,East Asian,NR,China
30320955,Baird DA,NR,NR,"U.K., NR"
30305740,Elliott LT,European,NR,NR
30305740,Elliott LT,European,NR,NR
30305637,McMaster ML,European,NR,"U.S., Australia, France, Germany, Denmark, Sweden, Italy"
30305637,McMaster ML,European,NR,U.S.
30289880,Qi G,European,NR,NR
30289880,Qi G,NR,NR,NR
30289880,Qi G,European,NR,NR
30289880,Qi G,European,NR,NR
30287856,Zheng R,East Asian,NR,China
30279531,Baselmans BML,European,NR,U.K.
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR"
30279459,van der Meer D,European,NR,"Netherlands, U.S., Norway, NR"
30281099,Fadista J,European,NR,Denmark
30305239,Macias-Kauffer LR,Hispanic or Latin American,NR,Mexico
30275531,Klarin D,European,NR,U.S.
30275531,Klarin D,NR,NR,NR
30275531,Klarin D,European,NR,U.S.
30275531,Klarin D,Hispanic or Latin American,NR,U.S.
30275531,Klarin D,NR,NR,NR
30275531,Klarin D,African American or Afro-Caribbean,NR,U.S.
30275531,Klarin D,Hispanic or Latin American,NR,U.S.
30275531,Klarin D,NR,NR,NR
30275531,Klarin D,African American or Afro-Caribbean,NR,U.S.
30275531,Klarin D,Hispanic or Latin American,NR,U.S.
30276832,Edwards AC,European,NR,"U.S., U.K."
30276832,Edwards AC,African unspecified,NR,U.S.
30276832,Edwards AC,Hispanic or Latin American,NR,U.S.
30319691,Liu C,NR,NR,NR
30248107,Wu S,East Asian,NR,China
30248107,Wu S,Other admixed ancestry,NR,China
30248107,Wu S,European,NR,Netherlands
30319691,Liu C,NR,NR,NR
30319691,Liu C,NR,NR,NR
30319691,Liu C,NR,NR,NR
30223776,Hwang LD,European,NR,NR
30224653,Evangelou E,European,NR,"U.K., NR"
30224653,Evangelou E,European,NR,"NR, U.K."
30224653,Evangelou E,European,NR,NR
30224653,Evangelou E,European,NR,"U.K., NR"
30223776,Hwang LD,European,NR,NR
30224653,Evangelou E,European,NR,NR
30224653,Evangelou E,European,NR,"U.K., NR"
30275891,Das S,NR,NR,NR
30263053,Deng X,NR,NR,U.S.
30263053,Deng X,NR,NR,U.S.
30217807,Robinson-Cohen C,European,NR,NR
30217807,Robinson-Cohen C,African unspecified,NR,NR
30218097,Munz M,European,NR,"U.S., Germany, Netherlands"
30213928,Went M,European,NR,"Germany, U.S., Netherlands, Iceland, Norway, Sweden, U.K."
30277614,Carlson JC,NR,NR,NR
30219690,Heinzman JT,African American or Afro-Caribbean,NR,U.S.
30188897,Jeong C,NR,NR,Nepal
30220432,Haas ME,European,NR,U.K.
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30220432,Haas ME,European,NR,U.K.
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30188897,Jeong C,NR,NR,Nepal
30185882,Zeiger AM,African American or Afro-Caribbean,NR,U.S.
30178632,Meng W,European,NR,U.K.
30181573,Jing J,European,NR,Germany
30181555,Strawbridge RJ,European,NR,NR
30181555,Strawbridge RJ,South Asian,NR,NR
30181555,Strawbridge RJ,African American or Afro-Caribbean,NR,NR
30181555,Strawbridge RJ,European,NR,NR
30181555,Strawbridge RJ,NR,NR,NR
30181573,Jing J,European,NR,Germany
30177863,Maguire LH,European,NR,U.K.
30196971,Bray MJ,"European, African American or Afro-Caribbean",NR,U.S.
30196971,Bray MJ,"European, African American or Afro-Caribbean",NR,U.S.
30196971,Bray MJ,"African American or Afro-Caribbean, European",NR,U.S.
30169916,Sun Y,East Asian,NR,China
30169916,Sun Y,East Asian,NR,China
30169916,Sun Y,East Asian,NR,China
30166627,Massey J,European,NR,U.K.
30172742,Hu Y,European,NR,NR
30161160,Onishi H,"East Asian, Asian unspecified",NR,"Japan, Singapore"
30160337,Asleh R,NR,NR,U.S.
30172743,Liang X,European,NR,U.S.
30172743,Liang X,European,NR,U.S.
30158200,Trajanoska K,East Asian,NR,"China, Hong Kong SAR"
30158200,Trajanoska K,European,NR,"U.S., Australia, Netherlands, Estonia, Finland, Iceland, Republic of Ireland, Sweden, U.K."
30158200,Trajanoska K,European,NR,U.S.
30158200,Trajanoska K,East Asian,NR,"China, Hong Kong SAR"
30158200,Trajanoska K,European,NR,"U.S., Australia, Netherlands, Estonia, Finland, Iceland, Republic of Ireland, Sweden, U.K."
30158200,Trajanoska K,European,NR,"Canada, U.S., Australia, Austria, France, Netherlands, Poland, Denmark, Finland, Sweden, U.K., Greece, Italy, Malta, Slovenia, Spain, NR"
30158200,Trajanoska K,East Asian,NR,"China, Hong Kong SAR, Republic of Korea"
30169657,Ashar FN,"European, African unspecified, Asian unspecified",NR,"U.S., Netherlands, Denmark, Finland, Sweden"
30169657,Ashar FN,African American or Afro-Caribbean,NR,U.S.
30169657,Ashar FN,Asian unspecified,NR,U.S.
30150663,Pasman JA,European,NR,"Canada, U.S., Australia, NR"
30132804,Kim M,East Asian,NR,Republic of Korea
30134952,Traglia M,"European, South Asian, Asian unspecified, African American or Afro-Caribbean, Hispanic or Latin American",NR,U.S.
