PUBMEDID,FIRST AUTHOR,CATEGORY,COUNTRY OF ORIGIN,COUNTRY OF RECRUITMENT,ADDITONAL ANCESTRY DESCRIPTION
30647433,Legge SE,Sub-Saharan African,NR,U.K.,
30642363,Hoffman J,Hispanic or Latin American,NR,U.S.,
30642363,Hoffman J,Hispanic or Latin American,NR,"Mexico, U.S., Colombia",
30642363,NA,African American or Afro-Caribbean,NR,U.S.,
30642363,NA,"African unspecified, African American or Afro-Caribbean",NR,NA,"African, African American and West Indian"
30642363,Hoffman J,East Asian,NR,China,
30642363,Hoffman J,European,NR,NR,
30610202,Ruderfer DM,European,NR,NR,White British
30610202,Ruderfer DM,European,NR,NA,
30610198,NA,European,NR,NR,
30582445,NA,European,NR,Spain,
30582445,Mola-Caminal M,European,NR,"U.S., Australia, Belgium, Sweden, U.K., Spain",NA
30598549,Morris JA,European,NR,U.K.,
30598549,Morris JA,European,NR,U.K.,
30598549,Morris JA,European,NR,NR,
30583798,Bovijn J,NA,NR,"Estonia, U.K., NR",
30563984,Hawi Z,European,NR,"Australia, Republic of Ireland, U.K.",
30552067,Shrine N,NA,NR,U.K.,
30552067,Shrine N,European,NR,U.K.,
30531825,Morgan MD,European,NR,NA,White British
30531941,Doherty A,European,NR,NR,
30531941,Doherty A,European,NR,NR,
30531941,Doherty A,European,NR,NR,
30531941,Doherty A,European,NR,NR,NA
30531825,Morgan MD,European,NR,U.K.,White British
30531825,Morgan MD,European,NR,U.K.,White British
30535121,Gao XR,European,NR,U.K.,
30535121,Gao XR,European,NR,NA,
30498034,Terao C,East Asian,NR,Japan,Japanese
30498034,Terao C,East Asian,NA,NA,NA
30423114,Laufer VA,African American or Afro-Caribbean,NR,U.S.,African American
30423114,Laufer VA,East Asian,NR,NR,
30423114,NA,European,NR,NR,
30395268,Khanshour AM,NA,"China, Hong Kong SAR, Japan",NR,NA
30395268,Khanshour AM,European,NR,U.S.,
30395268,NA,East Asian,NR,Japan,
30395268,NA,European,NR,NR,
30374069,Styrkarsdottir U,European,NR,"Iceland, U.K.",
30374069,Styrkarsdottir U,European,NR,"U.K., Iceland",
30367059,NA,European,NR,NR,
30367059,Teumer A,European,NR,NR,
30367059,Teumer A,European,NR,"U.S., Australia, Germany, Netherlands, Republic of Ireland, U.K., Italy",NA
30367059,Teumer A,European,NR,"U.S., Australia, Germany, Netherlands, Republic of Ireland, U.K., Italy",
30367059,Teumer A,European,NR,NR,
30367059,Teumer A,European,NR,NR,
30361487,Yan Q,European,NR,U.S.,
30348214,Zhang Q,NR,NR,U.K.,
30336701,Sanchez-Roige S,European,NA,"U.K., NR",
30343302,Kim SH,East Asian,NR,Democratic People's Republic of Korea,Koreans
30336701,Sanchez-Roige S,NA,NR,U.K.,
30336701,Sanchez-Roige S,European,NR,U.K.,white British
30326835,Li Z,East Asian,NR,China,NA
30320955,Baird DA,European,NA,"U.S., U.K.",
30320955,Baird DA,NR,NR,"U.K., NR",
30323354,NA,East Asian,NR,Republic of Korea,Korean
30305740,Elliott LT,European,NR,NR,British
30305740,Elliott LT,European,NR,NR,NA
30305637,McMaster ML,European,NR,"U.S., Australia, France, Germany, Denmark, Sweden, Italy",
30305637,McMaster ML,European,NR,U.S.,NA
30289880,Qi G,European,NR,NR,
30289880,Qi G,NR,NR,NR,
30289880,Qi G,European,NR,NR,
30289880,Qi G,European,NR,NR,
30287856,Zheng R,East Asian,NR,China,Han Chinese
30287856,Zheng R,NA,NR,China,Han Chinese
30287806,Zhou H,African American or Afro-Caribbean,NR,NA,
30281874,Tanikawa C,NA,NR,Japan,Japanese
30281874,Tanikawa C,NA,NR,Japan,Japanese
30279531,Baselmans BML,European,NR,U.K.,
30279459,NA,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NA,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,NA,NR,"U.S., Netherlands, Norway, NR",
30279459,NA,European,NA,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,NA,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",NA
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,NA,
30279459,van der Meer D,European,NR,NA,NA
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,NA,NA
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,NA,NR,"U.S., Netherlands, Norway, NR",
30279459,van der Meer D,European,NR,"Netherlands, U.S., Norway, NR",
30279459,van der Meer D,NA,NR,"U.S., Netherlands, Norway, NR",
30279531,Baselmans BML,European,NR,NA,
30279459,van der Meer D,NA,NR,"U.S., Netherlands, Norway, NR",
30281099,Fadista J,European,NR,Denmark,Danish
30281099,Fadista J,European,NR,NA,
30281099,NA,Hispanic or Latin American,NR,U.S.,
30305239,Macias-Kauffer LR,Hispanic or Latin American,NR,Mexico,Mexican
30275531,Klarin D,European,NR,U.S.,
30275531,Klarin D,NA,NR,U.S.,
30275531,NA,Hispanic or Latin American,NR,U.S.,
30275531,Klarin D,NR,NR,NR,
30275531,Klarin D,European,NR,U.S.,
30275531,Klarin D,African American or Afro-Caribbean,NR,NA,
30275531,Klarin D,Hispanic or Latin American,NR,U.S.,
30275531,Klarin D,NR,NR,NR,
30275531,Klarin D,European,NA,U.S.,NA
30275531,Klarin D,African American or Afro-Caribbean,NR,U.S.,NA
30275531,Klarin D,Hispanic or Latin American,NR,U.S.,
30275531,Klarin D,NR,NR,NR,
30275531,Klarin D,NA,NR,U.S.,NA
30275531,Klarin D,African American or Afro-Caribbean,NR,U.S.,
30275531,Klarin D,Hispanic or Latin American,NR,U.S.,
30275531,Klarin D,NR,NR,NA,
30276832,Edwards AC,European,NR,"U.S., U.K.",
30276832,Edwards AC,African unspecified,NR,U.S.,
30276832,Edwards AC,Hispanic or Latin American,NR,U.S.,
30319691,Liu C,NR,NR,NR,
30248107,Wu S,East Asian,NR,China,Han Chinese
30248107,Wu S,Other admixed ancestry,NR,China,Uyghur
30248107,Wu S,Hispanic or Latin American,NR,NA,Latin American
30248107,Wu S,European,NR,Netherlands,Dutch
30319691,Liu C,NR,NR,NR,
30319691,Liu C,NR,NR,NR,NA
30319691,Liu C,NR,NR,NR,
30247649,NA,"Greater Middle Eastern (Middle Eastern, North African or Persian)",NR,"Iran (Islamic Republic of), Turkey","Iranian, Turkish"
30223776,Hwang LD,European,NR,NR,NA
30224653,Evangelou E,European,NR,"U.K., NR",
30224653,Evangelou E,European,NR,"NR, U.K.",
30224653,NA,European,NR,NA,
30224653,Evangelou E,European,NR,NR,
30224653,Evangelou E,European,NR,"U.K., NR",
30224653,Evangelou E,European,NA,NR,
30224653,Evangelou E,European,NA,NA,
30223776,Hwang LD,European,NR,NR,
30224653,Evangelou E,European,NR,NR,
30224653,Evangelou E,European,NR,"U.K., NR",
30275891,Das S,NR,NR,NR,NA
30263053,NA,NA,NR,U.S.,
30263053,Deng X,NR,NR,U.S.,NA
30263053,Deng X,NR,NR,U.S.,
30275891,Das S,NA,NR,NR,
30217807,Robinson-Cohen C,European,NR,NR,
30217807,Robinson-Cohen C,African unspecified,NR,NR,
30218097,Munz M,European,NR,"U.S., Germany, Netherlands",
30218097,Munz M,European,NA,Germany,NA
30213928,Went M,European,NR,"Germany, U.S., Netherlands, Iceland, Norway, Sweden, U.K.",
30213928,Went M,NA,NR,"Germany, Denmark, Sweden",
30277614,Carlson JC,NR,NR,NR,
30202859,Laisk T,European,NA,"U.K., Estonia",
30219690,Heinzman JT,European,NR,NA,non-Hispanic White
30219690,Heinzman JT,African American or Afro-Caribbean,NR,U.S.,African American
30194396,Rafnar T,NA,NR,NA,"Icelandic, white British"
30188897,Jeong C,NR,NR,Nepal,
30220432,Haas ME,European,NR,U.K.,
30188897,Jeong C,NA,NA,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,NA,NR,NA,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,NA,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NA,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NA,NR,Nepal,
30188897,NA,NR,NA,NA,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
30188897,Jeong C,NR,NR,Nepal,
