"type" "weight" "dose" "minsurv"
"1" 0 1.884359 1 3.461493
"2" 0 1.732261 1.1 2.110417
"3" 1 2.830895 1.2 11.419131
"4" 0 1.748562 1.3 1.821191
"5" 0 2.114166 1.4 3.277619
"6" 0 1.854602 1.5 2.955556
"7" 0 1.215184 1.6 1.848889
"8" 1 2.054411 1.7 8.054869
"9" 0 1.801606 1.8 1.654597
"10" 1 2.501205 1.9 7.95242
"11" 0 1.912098 2 2.694585
"12" 1 1.782304 2.1 2.864928
"13" 0 2.03276 1 6.056393
"14" 0 2.263284 1.1 3.508306
"15" 0 1.819726 1.2 2.792692
"16" 0 1.924464 1.3 3.46338
"17" 0 2.153471 1.4 3.183236
"18" 0 2.171603 1.5 3.99029
"19" 1 1.54305 1.6 3.102191
"20" 0 2.023775 1.7 2.323233
"21" 1 2.158629 1.8 3.334428
"22" 1 2.337289 1.9 5.406935
"23" 1 1.900762 2 2.665815
"24" 0 2.028244 2.1 2.477966
"25" 1 2.159808 1 7.783093
"26" 0 1.819958 1.1 2.868702
"27" 1 1.999414 1.2 5.47719
"28" 1 2.073964 1.3 6.509285
"29" 1 2.058199 1.4 5.698655
"30" 0 1.826108 1.5 2.377967
"31" 0 1.715282 1.6 2.080905
"32" 1 2.482385 1.7 8.188797
"33" 1 2.224457 1.8 6.967697
"34" 0 2.780534 1.9 3.829233
"35" 0 1.874389 2 1.473436
"36" 0 2.405112 2.1 2.651495
"37" 1 2.252743 1 9.527555
"38" 0 2.183263 1.1 3.498417
"39" 1 2.454223 1.2 10.89965
"40" 0 2.529784 1.3 3.284117
"41" 0 1.404543 1.4 2.529689
"42" 1 1.919328 1.5 3.801973
"43" 0 2.180245 1.6 2.471836
"44" 1 2.20825 1.7 4.271475
"45" 0 1.935201 1.8 1.913753
"46" 1 2.069835 1.9 5.345919
"47" 0 2.46162 2 2.1036
"48" 0 2.062654 2.1 1.350661
"49" 0 2.339549 1 9.358027
"50" 0 1.812377 1.1 4.241644
"51" 1 2.2549 1.2 6.206211
"52" 0 2.068002 1.3 2.323421
"53" 1 2.389707 1.4 7.915151
"54" 1 2.497137 1.5 10.996561
"55" 1 2.307549 1.6 4.541743
"56" 0 2.089716 1.7 2.041679
"57" 0 2.060077 1.8 3.513445
"58" 1 2.558311 1.9 6.198538
"59" 0 2.075058 2 1.634059
"60" 1 1.840242 2.1 3.059981
"61" 0 1.585098 1 2.95583
"62" 1 2.389859 1.1 6.426726
"63" 0 2.384177 1.2 7.252887
"64" 1 2.464393 1.3 6.813678
"65" 0 2.255311 1.4 2.578759
"66" 1 2.257577 1.5 4.862047
"67" 1 1.93153 1.6 3.484681
"68" 0 1.585569 1.7 1.314428
"69" 0 2.290878 1.8 3.014636
"70" 1 2.475834 1.9 7.739927
"71" 0 1.658319 2 1.549716
"72" 0 1.777013 2.1 1.995267
"73" 0 1.80235 1 1.565724
"74" 0 2.220584 1.1 5.277624
"75" 1 2.391795 1.2 13.259962
"76" 0 2.066648 1.3 2.707082
"77" 0 1.976426 1.4 2.735774
"78" 0 1.994567 1.5 4.475603
"79" 1 2.094764 1.6 3.80304
"80" 0 1.531822 1.7 1.855402
"81" 1 2.292861 1.8 3.182463
"82" 0 2.078708 1.9 3.204668
"83" 1 2.605055 2 5.228839
"84" 1 2.458649 2.1 4.80716
"85" 0 1.892714 1 4.262905
"86" 0 1.428462 1.1 3.757364
"87" 0 2.582141 1.2 4.924012
"88" 1 1.874957 1.3 2.57772
"89" 1 2.655126 1.4 7.69928
"90" 1 1.881216 1.5 3.537592
"91" 0 2.331042 1.6 4.565026
"92" 0 2.360538 1.7 5.659547
"93" 0 1.763365 1.8 2.769239
"94" 1 2.492774 1.9 5.176632
"95" 0 2.027935 2 2.71596
"96" 0 1.890602 2.1 2.134797
