replica	gluc_percent	gluc_microg_microl	V_microl	gluc_microg	A405
1	0.0004	0.004	50	0.2	0.118
1	0.0008	0.008	50	0.4	0.234
1	0.0012	0.012	50	0.6	0.349
1	0.0016	0.016	50	0.8	0.428
1	0.002	0.02	50	1	0.6
1	0.0024	0.024	50	1.2	0.681
1	0.0028	0.028	50	1.4	0.789
1	0.0032	0.032	50	1.6	0.912
1	0.0036	0.036	50	1.8	1.114
1	0.004	0.04	50	2	1.229
2	0.0004	0.004	50	0.2	0.116
2	0.0008	0.008	50	0.4	0.231
2	0.0012	0.012	50	0.6	0.351
2	0.0016	0.016	50	0.8	0.436
2	0.002	0.02	50	1	0.592
2	0.0024	0.024	50	1.2	0.693
2	0.0028	0.028	50	1.4	0.781
2	0.0032	0.032	50	1.6	0.912
2	0.0036	0.036	50	1.8	1.115
2	0.004	0.04	50	2	1.215
3	0.0004	0.004	50	0.2	0.112
3	0.0008	0.008	50	0.4	0.23
3	0.0012	0.012	50	0.6	0.346
3	0.0016	0.016	50	0.8	0.454
3	0.002	0.02	50	1	0.591
3	0.0024	0.024	50	1.2	0.709
3	0.0028	0.028	50	1.4	0.768
3	0.0032	0.032	50	1.6	0.906
3	0.0036	0.036	50	1.8	1.074
3	0.004	0.04	50	2	1.201



