"age" "weight" "height" "meta"
32 12.589254117941675 93.97233105646376 .513
33 13.614446824659497 93.54056741475522 .508
34 15.417004529495593 94.62371613657929 .505
35 13.708817661648537 96.38290236239705 .517
36 15.488166189124811 95.94006315159331 .524
37 16.710906143107078 99.31160484209336 .524
39 14.68926277643867 96.38290236239705 .487
42 16.710906143107078 100.23052380778995 .573
43 15.995580286146687 100.69316688518045 .551
44 16.595869074375607 105.92537251772886 .558
46 16.29296032639722 103.03861204416158 .574
47 15.812480392703835 99.77000638225536 .549
47 16.595869074375607 103.75284158180126 .562
49 18.706821403658008 109.90058394325209 .574
50 16.106456351782708 106.41430182243164 .594
52 19.408858775927783 110.40786199020735 .597
54 18.620871366628677 105.43868963912581 .583
56 18.706821403658008 112.2018454301963 .576
58 19.67886289706845 110.9174815262401 .593
62 18.620871366628677 114.28783347897712 .598
64 16.29296032639722 110.15393095414144 .572
66 21.281390459827122 114.81536214968828 .634
68 18.620871366628677 115.08003889444356 .633
70 18.793168168032686 114.28783347897712 .604
73 25.003453616964322 125.31411749414156 .594
76 17.218685749860068 114.81536214968828 .569
77 22.908676527677724 123.8796586530369 .639
81 28.773984147356696 134.2764961137864 .687
83 23.9883291901949 126.18275345906706 .635
86 20.417379446695296 120.22644346174131 .627
89 24.603676041476273 126.47363474711523 .65
91 27.289777828080403 128.82495516931348 .663
95 34.83373150360118 136.77288255958496 .744
96 26.302679918953814 133.3521432163324 .681
99 26.485001386067008 130.9181922999407 .639
100 23.01441817408509 127.64388088113435 .679
103 23.12064790175594 123.31048332289096 .673
104 27.227013080779127 132.1295634186575 .639
110 29.308932452503214 131.21998990192043 .652
113 29.512092266663856 142.23287871228197 .669
117 40.08667176273028 141.2537544622754 .747
120 28.773984147356696 141.5793779957081 .675
122 34.27677865464505 141.90575216890926 .666
126 29.376496519615305 136.4583136588924 .692
129 29.10717118066605 139.63683610559377 .713
134 28.379190284415568 142.88939585111038 .637
141 29.512092266663856 137.72094688939472 .654
145 40.926065973001094 153.81546403030356 .755
148 33.80648362059815 144.21153515248682 .677
152 38.72576449216173 148.93610777109154 .755
