"ABUNDANCE" "ELEVATION" "LNSURF" "YEARS"
"1" 5.3 160 -2.30258509299405 78
"2" 2 60 -0.693147180559945 30
"3" 1.5 140 -0.693147180559945 10
"4" 17.1 160 0 76
"5" 13.8 140 0 28
"6" 14.1 130 0 75
"7" 3.8 90 0 65
"8" 2.2 60 0 30
"9" 3.3 130 0 75
"10" 3 130 0 10
"11" 27.6 210 0.693147180559945 36
"12" 1.8 160 0.693147180559945 0
"13" 21.2 210 0.693147180559945 83
"14" 14.6 210 0.693147180559945 82
"15" 8 120 0.693147180559945 10
"16" 3.5 145 0.693147180559945 10
"17" 29 110 1.09861228866811 72
"18" 2.9 140 1.09861228866811 75
"19" 24.3 190 1.38629436111989 70
"20" 19.4 90 1.38629436111989 63
"21" 24.4 220 1.38629436111989 83
"22" 5 120 1.38629436111989 33
"23" 15.8 130 1.6094379124341 75
"24" 25.3 100 1.6094379124341 77
"25" 19.5 170 1.79175946922805 0
"26" 20.9 150 1.79175946922805 70
"27" 16.3 130 1.94591014905531 75
"28" 18.8 210 1.94591014905531 70
"29" 19.9 120 2.07944154167984 83
"30" 13 90 2.19722457733622 20
"31" 6.8 110 2.30258509299405 72
"32" 21.7 175 2.39789527279837 70
"33" 27.8 110 2.484906649788 73
"34" 26.8 200 2.484906649788 70
"35" 16.6 190 2.56494935746154 78
"36" 30.4 120 2.70805020110221 76
"37" 11.5 100 2.83321334405622 30
"38" 26 190 2.89037175789616 76
"39" 25.7 150 2.94443897916644 83
"40" 12.7 90 3.09104245335832 28
"41" 23.5 140 3.25809653802148 73
"42" 24.9 130 3.36729582998647 75
"43" 29 190 3.46573590279973 84
"44" 28.3 110 3.52636052461616 75
"45" 28.3 120 3.68887945411394 72
"46" 32 190 3.78418963391826 70
"47" 37.7 120 3.87120101090789 38
"48" 39.6 180 3.89182029811063 82
"49" 29.6 140 3.91202300542815 77
"50" 31 165 4.04305126783455 73
"51" 34.4 175 4.56434819146784 86
"52" 27.3 70 4.68213122712422 74
"53" 30.5 160 4.89783979995091 74
"54" 33 190 4.969813299576 50
"55" 29.5 190 6.880384082186 80
"56" 30.9 260 7.47929963778283 43
